      Step     Time          Energy          fmax
FIRE:    0 00:53:30    -1032.139609        3.008829
FIRE:    1 00:53:32    -1034.923890        1.189966
FIRE:    2 00:53:33    -1035.411831        1.131558
FIRE:    3 00:53:34    -1035.550928        0.999608
FIRE:    4 00:53:35    -1035.754856        0.768615
FIRE:    5 00:53:36    -1035.921324        0.490754
FIRE:    6 00:53:37    -1035.989694        0.457416
FIRE:    7 00:53:37    -1035.996481        0.692688
FIRE:    8 00:53:38    -1036.008642        0.661424
FIRE:    9 00:53:39    -1036.030886        0.601129
FIRE:   10 00:53:40    -1036.059667        0.516390
FIRE:   11 00:53:41    -1036.090221        0.413962
FIRE:   12 00:53:42    -1036.118627        0.302866
FIRE:   13 00:53:43    -1036.141819        0.212459
FIRE:   14 00:53:44    -1036.158801        0.198694
FIRE:   15 00:53:45    -1036.171819        0.220723
FIRE:   16 00:53:46    -1036.183539        0.248098
FIRE:   17 00:53:47    -1036.198586        0.288511
FIRE:   18 00:53:48    -1036.221467        0.321951
FIRE:   19 00:53:49    -1036.254490        0.307566
FIRE:   20 00:53:50    -1036.294113        0.238104
FIRE:   21 00:53:51    -1036.331207        0.133611
FIRE:   22 00:53:52    -1036.357195        0.180999
FIRE:   23 00:53:53    -1036.377553        0.259332
FIRE:   24 00:53:54    -1036.406520        0.271858
FIRE:   25 00:53:55    -1036.443167        0.153301
FIRE:   26 00:53:57    -1036.466389        0.160857
FIRE:   27 00:53:57    -1036.483428        0.264531
FIRE:   28 00:53:58    -1036.518744        0.165645
FIRE:   29 00:53:59    -1036.549514        0.172840
FIRE:   30 00:54:00    -1036.584175        0.234965
FIRE:   31 00:54:01    -1036.638639        0.119968
FIRE:   32 00:54:02    -1036.683057        0.202043
FIRE:   33 00:54:03    -1036.741094        0.150852
FIRE:   34 00:54:04    -1036.776687        0.277669
FIRE:   35 00:54:05    -1036.779922        0.709551
FIRE:   36 00:54:06    -1036.826092        0.125049
FIRE:   37 00:54:07    -1036.806058        0.670873
FIRE:   38 00:54:08    -1036.819765        0.494862
FIRE:   39 00:54:09    -1036.834717        0.190691
FIRE:   40 00:54:10    -1036.838565        0.152389
FIRE:   41 00:54:11    -1036.838928        0.142657
FIRE:   42 00:54:12    -1036.839532        0.123776
FIRE:   43 00:54:13    -1036.840376        0.097111
      Step     Time          Energy          fmax
FIRE:    0 00:54:15    -1030.433247        3.096500
FIRE:    1 00:54:16    -1033.135122        1.067020
FIRE:    2 00:54:17    -1033.490145        1.211089
FIRE:    3 00:54:17    -1033.644472        1.060927
FIRE:    4 00:54:18    -1033.869218        0.783714
FIRE:    5 00:54:19    -1034.047559        0.430436
FIRE:    6 00:54:20    -1034.113107        0.484919
FIRE:    7 00:54:21    -1034.119711        0.475954
FIRE:    8 00:54:22    -1034.132308        0.459305
FIRE:    9 00:54:23    -1034.149555        0.437619
FIRE:   10 00:54:24    -1034.170107        0.414519
FIRE:   11 00:54:25    -1034.192376        0.394137
FIRE:   12 00:54:26    -1034.215380        0.380037
FIRE:   13 00:54:27    -1034.238145        0.373796
FIRE:   14 00:54:28    -1034.263379        0.374509
FIRE:   15 00:54:29    -1034.291659        0.379402
FIRE:   16 00:54:29    -1034.324423        0.382426
FIRE:   17 00:54:31    -1034.363483        0.376601
FIRE:   18 00:54:31    -1034.409439        0.357336
FIRE:   19 00:54:32    -1034.460958        0.326499
FIRE:   20 00:54:33    -1034.515157        0.295294
FIRE:   21 00:54:34    -1034.570200        0.275733
FIRE:   22 00:54:35    -1034.628828        0.260119
FIRE:   23 00:54:36    -1034.694415        0.234914
FIRE:   24 00:54:37    -1034.762992        0.218923
FIRE:   25 00:54:38    -1034.829537        0.227101
FIRE:   26 00:54:39    -1034.900647        0.215726
FIRE:   27 00:54:40    -1034.979497        0.187554
FIRE:   28 00:54:41    -1035.061564        0.181999
FIRE:   29 00:54:42    -1035.154973        0.168311
FIRE:   30 00:54:43    -1035.247353        0.198179
FIRE:   31 00:54:44    -1035.347065        0.133424
FIRE:   32 00:54:45    -1035.438630        0.150841
FIRE:   33 00:54:46    -1035.513327        0.179578
FIRE:   34 00:54:47    -1035.587139        0.231187
FIRE:   35 00:54:47    -1035.644660        0.469475
FIRE:   36 00:54:48    -1035.671762        0.113960
FIRE:   37 00:54:49    -1035.662586        0.433501
FIRE:   38 00:54:50    -1035.672666        0.312856
FIRE:   39 00:54:51    -1035.683432        0.116834
FIRE:   40 00:54:52    -1035.686468        0.128552
FIRE:   41 00:54:53    -1035.686829        0.121905
FIRE:   42 00:54:54    -1035.687674        0.109160
FIRE:   43 00:54:55    -1035.688756        0.101524
FIRE:   44 00:54:56    -1035.689955        0.100789
FIRE:   45 00:54:57    -1035.691268        0.099949
      Step     Time          Energy          fmax
FIRE:    0 00:54:58    -1030.589054        3.015561
FIRE:    1 00:54:59    -1033.386259        1.268123
FIRE:    2 00:55:00    -1033.895942        1.177016
FIRE:    3 00:55:01    -1034.035406        1.031063
FIRE:    4 00:55:02    -1034.239680        0.761492
FIRE:    5 00:55:03    -1034.405698        0.527988
FIRE:    6 00:55:04    -1034.473579        0.427359
FIRE:    7 00:55:05    -1034.479151        0.676207
FIRE:    8 00:55:06    -1034.491142        0.644791
FIRE:    9 00:55:07    -1034.513170        0.584352
FIRE:   10 00:55:08    -1034.541695        0.500439
